;N° Dossier;Ville Enl;Cp Liv;Date Enl;Heure Enl;Date Liv;Trp;Ref chargement;Code Dest;Date Liv;Destinataire;Ville Liv;Heure Liv;Palette;Mt Transport
1;960156;Mans (le);41260;09/10/2020;11:00;12/10/2020;STIL;960156;804;12/10/2020;GIFI BLOIS;Chaussée-Saint-Victor (la);10h30;6;
;960156;Mans (le);41100;09/10/2020;11:00;12/10/2020;STIL;960156;10117;12/10/2020;GIFI VENDOME2;Vendôme;09h30;20;506
;;;;;;;;;;;;;;;
2;960383;Mans (le);35730;09/10/2020;15:00;12/10/2020;STIL;960383;10894;12/10/2020;GIFI PLEURTUIT;Pleurtuit;14h00;5;624
;960383;Mans (le);35740;09/10/2020;15:00;12/10/2020;STIL;960383;1521;12/10/2020;GIFI RENNES PACE;Pacé;10h30;6;0
;960383;Mans (le);35500;09/10/2020;15:00;12/10/2020;STIL;960383;10087;12/10/2020;GIFI VITRE;Cornillé;09h30;12;0
;;;;;;;;;;;;;;;
3;960373;Mans (le);44150;09/10/2020;14:00;12/10/2020;STIL;960373;1725;12/10/2020;GIFI ANCENIS/GEREONS;Saint-Herblon;09h30;8;566
;960373;Mans (le);72300;09/10/2020;14:00;12/10/2020;STIL;960373;10847;12/10/2020;GIFI SOLESMES-SABLES;Solesmes;15h00;9;0
;960373;Mans (le);44390;09/10/2020;14:00;12/10/2020;STIL;960373;10833;12/10/2020;GIFI LES TOUCHES/NORT;Touches (les);10h30;8;0
;;;;;;;;;;;;;;;
4;960374;Mans (le);18390;09/10/2020;11:00;12/10/2020;STIL;960374;11343;12/10/2020;GIFI ST GERMAIN DU PUY2;Saint-Germain-du-Puy;11h00;14;392
;960374;Mans (le);18100;09/10/2020;11:00;12/10/2020;STIL;960374;10503;12/10/2020;GIFI VIERZON2;Vierzon;09h30;12;
;;;;;;;;;;;;;;;
5;960375;Mans (le);22100;09/10/2020;14:00;12/10/2020;STIL;960375;1784;12/10/2020;GIFI DINAN/QUEVERT;Saint-Samson-sur-Rance;10h30;7;510
;960375;Mans (le);22190;09/10/2020;14:00;12/10/2020;STIL;960375;10066;12/10/2020;GIFI ST BRIEUC/PLERIN;Saint-Laurent-de-la-Mer;14h00;12;
;960375;Mans (le);35430;09/10/2020;14:00;12/10/2020;STIL;960375;10924;12/10/2020;GIFI ST JOUAN DES GUERETS ST MALO 2;Saint-Pére;09h30;10;
;;;;;;;;;;;;;;;
6;960386;Mans (le);44120;09/10/2020;14:00;12/10/2020;STIL;960386;10793;12/10/2020;GIFI VERTOU;Vertou;10h00;20;259
;;;;;;;;;;;;;;;
7;960377;Mans (le);56100;09/10/2020;14:00;12/10/2020;STIL;960377;10649;12/10/2020;GIFI LORIENT2;Lorient;11h00;14;333
;;;;;;;;;;;;;;;
8;960381;Mans (le);44700;09/10/2020;11:00;12/10/2020;STIL;960381;11344;12/10/2020;GIFI NANTES ORVAULT 2;Orvault;08h30;14;
;960381;Mans (le);44400;09/10/2020;11:00;12/10/2020;STIL;960381;392;12/10/2020;GIFI NANTES/REZE;Rezé;10h30;12;349
;;;;;;;;;;;;;;;
9;960382;Mans (le);22500;09/10/2020;14:00;12/10/2020;STIL;960382;10187;12/10/2020;GIFI PAIMPOL;Paimpol;10h00;9;240
;;;;;;;;;;;;;;;
10;960385;Mans (le);18200;09/10/2020;14:00;12/10/2020;STIL;960385;1585;12/10/2020;GIFI ST AMAND;Saint-Amand-Montrond;10h00;15;242
;;;;;;;;;;;;;;;
11;960387;Mans (le);41200;09/10/2020;15:00;12/10/2020;STIL;960387;10018;12/10/2020;GIFI ROMORANTIN;Romorantin-Lanthenay;09h30;21;246
;;;;;;;;;;;;;;;
12;960388;Mans (le);36250;09/10/2020;15:00;12/10/2020;STIL;960388;10034;12/10/2020;GIFI CHATEAUROUX2;Saint-Maur;11h00;15;
;960388;Mans (le);36100;09/10/2020;15:00;12/10/2020;STIL;960388;1695;12/10/2020;GIFI ISSOUDUN;Issoudun;09h30;16;415
